category,subcategory,description,price_eu,compare,brand,supermercado
Despensa,Aperitivos y frutos secos,Cóctel Picante Bote 235 Gr,2.15,"9,35 € / 1 Kg",Corbi,CONSUM
Despensa,Aperitivos y frutos secos,Mix Barbacoa Bolsa 195 Gr,1.95,"10,00 € / 1 Kg",Mistercorn,CONSUM
Despensa,Aperitivos y frutos secos,Mix Picante Bolsa 195 Gr,1.95,"10,00 € / 1 Kg",Mistercorn,CONSUM
Despensa,Aperitivos y frutos secos,Mix de Encurtidos Pepinillos y Cebollas 380 Gr,1.95,"5,13 € / 1 Kg",Rioverde,CONSUM
Despensa,Aperitivos y frutos secos,Cóctel Salseo Bolsa 200 Gr,2.19,"10,95 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pipas Tostadas sin Sal Bolsa 175 Gr,1.29,"7,37 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Snack Papadelta Sabor Jamón Bolsa 73 Gr,1.69,"23,15 € / 1 Kg",Grefusa,CONSUM
Despensa,Aperitivos y frutos secos,Snack Gublins Sabor Barbacoa Bolsa 135 Gr,1.69,"12,52 € / 1 Kg",Grefusa,CONSUM
Despensa,Aperitivos y frutos secos,Snack Boom Tijuana Bolsa 85 Gr,1.69,"19,88 € / 1 Kg",Grefusa,CONSUM
Despensa,Aperitivos y frutos secos,Anacardos Crudos Bolsa 150 Gr,1.75,"11,67 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Patata Delicatessen Bolsa 120 Gr,1.39,"11,58 € / 1 Kg",Argente,CONSUM
Despensa,Aperitivos y frutos secos,Pipas Piponazo Original Bolsa 119 Gr,1.85,"15,55 € / 1 Kg",Grefusa,CONSUM
Despensa,Aperitivos y frutos secos,Cóctel Frutos Secos sin Sal 170 Gr,2.19,"12,88 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Onduladas Bolsa 160 Gr,1.89,"11,81 € / 1 Kg",Ruffles,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Pimiento Asado Lata 150 Gr,1.65,"11,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pipas Gigantes Tostadas Aguasal en Bolsa 200 Gr,1.2,"6,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pipas Peladas Fritas Bolsa 150 Gr,0.85,"5,67 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Palomitas Microondas Pack de 3 3 x 100 Gr,2.45,"8,17 € / 1 Kg",Popitas,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Rellena Anchoa Baja en Sal en Lata 150 Gr,1.4,"9,33 € / 1 Kg",Consum,CONSUM
