description,product_code,category,subcategory,pr_23,pr_24
"Bebida energética Energy Monster",28016,"Agua y refrescos","Isotónico y energético",1.8,1.89
"Bebida energética Energy Drink Hacendado",28266,"Agua y refrescos","Isotónico y energético",1.7,1.7
"Bebida energética Energy Drink Hacendado",28263,"Agua y refrescos","Isotónico y energético",2.7,2.7
"Bebida energética Energy Drink Hacendado",28264,"Agua y refrescos","Isotónico y energético",0.45,0.45
"Bebida energética Red Bull",29378,"Agua y refrescos","Isotónico y energético",4.52,5.52
"Bebida energética Red Bull",27905,"Agua y refrescos","Isotónico y energético",1.28,1.64
"Bebida energética original Burn",29365,"Agua y refrescos","Isotónico y energético",4.2,4.2
"Bebida energética original Burn",27913,"Agua y refrescos","Isotónico y energético",1.1,1.1
"Gel energético con cafeína Enervit Sport sabor cítricos",28116,"Agua y refrescos","Isotónico y energético",3.6,3.6
"Gel energético con cafeína Enervit Sport sabor cítricos",28116,"Agua y refrescos","Isotónico y energético",3.6,3.6
"Bebida energética Mango Loco Monster",13815,"Agua y refrescos","Isotónico y energético",6.72,7.08
"Bebida energética Mango Loco Monster",13814,"Agua y refrescos","Isotónico y energético",1.8,1.89
"Refresco Coca-Cola",27348,"Agua y refrescos","Refresco de cola",4.74,4.64
"Refresco Coca-Cola",27342,"Agua y refrescos","Refresco de cola",2.47,2.36
"Refresco Coca-Cola",28181,"Agua y refrescos","Refresco de cola",1.72,1.72
"Refresco Coca-Cola",28113,"Agua y refrescos","Refresco de cola",5.04,5.4
"Refresco Coca-Cola",29360,"Agua y refrescos","Refresco de cola",1.49,1.55
"Refresco Coca-Cola",27321,"Agua y refrescos","Refresco de cola",9.84,11.16
"Refresco Coca-Cola",27326,"Agua y refrescos","Refresco de cola",0.91,0.95
"Refresco cola Hacendado",29072,"Agua y refrescos","Refresco de cola",1.1,1.1
"Refresco cola Hacendado",29031,"Agua y refrescos","Refresco de cola",2.34,2.34
"Refresco cola Hacendado",29032,"Agua y refrescos","Refresco de cola",0.39,0.39
"Refresco cola Pepsi",23894,"Agua y refrescos","Refresco de cola",1.89,1.69
"Refresco Coca-Cola Zero azúcar",27426,"Agua y refrescos","Refresco de cola",9.12,10.44
"Refresco Coca-Cola Zero azúcar",27414,"Agua y refrescos","Refresco de cola",0.85,0.89
"Refresco Coca-Cola Zero azúcar",27449,"Agua y refrescos","Refresco de cola",4,3.9
"Refresco Coca-Cola Zero azúcar",27445,"Agua y refrescos","Refresco de cola",2.1,1.99
"Refresco Coca-Cola Zero azúcar",13816,"Agua y refrescos","Refresco de cola",1.49,1.49
"Refresco Coca-Cola Zero azúcar",28115,"Agua y refrescos","Refresco de cola",4.64,5
"Refresco Coca-Cola Zero azúcar",29361,"Agua y refrescos","Refresco de cola",1.39,1.45
"Refresco Coca-Cola light",27406,"Agua y refrescos","Refresco de cola",0.9,0.89
"Refresco Coca-Cola Zero Zero",26997,"Agua y refrescos","Refresco de cola",9.12,10.44
"Refresco Coca-Cola Zero Zero",27559,"Agua y refrescos","Refresco de cola",0.85,0.89
"Refresco Coca-Cola Zero Zero",28180,"Agua y refrescos","Refresco de cola",4,3.9
