product~product_type~product_volume~product_price_per_unit~product_price~product_unit~product_category~product_subcategory~product_url~product_code~collected_timestamp
Piñones Hacendado~Bote~70 g~| 40,572 €/kg~2.84~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/60869/pinones-hacendado-bote~60869~2023-03-11 21:59:27.488812
Sazonador para fajitas Hacendado sabor tex-mex~Sobre~17 g~| 5,00 €/100 g~0.85~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/23353/sazonador-fajitas-hacendado-sabor-tex-mex~23353~2023-03-11 21:59:28.190539
Sazonador al horno y microondas ajo y limón Hacendado con bolsa~Caja~2 sobres (60 g)~| 26,667 €/kg~1.6~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/37403/sazonador-horno-microondas-ajo-limon-hacendado-con-bolsa-caja~37403~2023-03-11 21:59:28.851700
Sazonador al horno y microondas pollo y costillas a las hierbas provenzales Hacendado con bolsa~Caja~2 sobres (48 g)~| 2,917 €/100 g~1.4~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/37402/sazonador-horno-microondas-pollo-costillas-hierbas-provenzales-hacendado-con-bolsa-caja~37402~2023-03-11 21:59:29.485103
Sazonador sabor barbacoa Hacendado incluye 2 bolsas y 2 sazonadores~Caja~2 sobres (48 g)~| 2,917 €/100 g~1.4~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/37414/sazonador-sabor-barbacoa-hacendado-incluye-2-bolsas-2-sazonadores-caja~37414~2023-03-11 21:59:30.172203
Preparado para paella con azafrán Hacendado~Bote~76 g~| 24,343 €/kg~1.85~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34777/preparado-paella-con-azafran-hacendado-bote~34777~2023-03-11 21:59:30.875707
Sazonador para paella con azafrán Hacendado~Caja~5 sobres (20 g)~| 7,00 €/100 g~1.4~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34702/sazonador-paella-con-azafran-hacendado-caja~34702~2023-03-11 21:59:31.530963
Sazonador para burritos Hacendado~Sobre~40 g~| 2,75 €/100 g~1.1~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/17147/sazonador-burritos-hacendado~17147~2023-03-11 21:59:32.194951
Sazonador pollo y carne Hacendado~Bote~92 g~| 16,305 €/kg~1.5~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/37408/sazonador-pollo-carne-hacendado-bote~37408~2023-03-11 21:59:32.847347
Sazonador pasta Hacendado~Bote~45 g~| 5,556 €/100 g~2.5~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34134/sazonador-pasta-hacendado-bote~34134~2023-03-11 21:59:33.546462
Sazonador ensalada Hacendado~Bote~95 g~| 27,369 €/kg~2.6~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/37405/sazonador-ensalada-hacendado-bote~37405~2023-03-11 21:59:34.211279
Sazonador Ras el Hanout Hacendado~Bote~62 g~| 40,323 €/kg~2.5~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/22798/sazonador-ras-hanout-hacendado-bote~22798~2023-03-11 21:59:34.891908
Mayonesa Hacendado~Tarro~500 ml~| 2,70 €/L~1.35~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/13406/mayonesa-hacendado-tarro~13406~2023-03-11 22:00:38.660747
Mayonesa Hacendado~Tarro~225 ml~| 4,445 €/L~1.0~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/13408/mayonesa-hacendado-tarro~13408~2023-03-11 22:00:39.257775
Mayonesa Hacendado~Bote~460 ml~| 3,131 €/L~1.44~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/13407/mayonesa-hacendado-bote~13407~2023-03-11 22:00:39.705523
Mayonesa Hellmann's~Tarro~475 ml~| 7,264 €/L~3.45~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/17092/mayonesa-hellmanns-tarro~17092~2023-03-11 22:00:40.185783
Mayonesa Hellmann's~Tarro~225 ml~| 8,667 €/L~1.95~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/17052/mayonesa-hellmanns-tarro~17052~2023-03-11 22:00:40.655237
Salsa ligera Ligeresa~Tarro~450 ml~| 6,334 €/L~2.85~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/67836/salsa-ligera-ligeresa-tarro~67836~2023-03-11 22:00:41.141629
Salsa ligera Ligeresa~Tarro~225 ml~| 7,334 €/L~1.65~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/17010/salsa-ligera-ligeresa-tarro~17010~2023-03-11 22:00:41.652874
Salsa ligera Ligeresa~Bote~430 ml~| 6,163 €/L~2.65~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/17039/salsa-ligera-ligeresa-bote~17039~2023-03-11 22:00:42.221524
Mayonesa Ybarra~Bote~500 ml~| 4,50 €/L~2.25~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/17038/mayonesa-ybarra-bote~17038~2023-03-11 22:00:42.812329
Salsa fina Kraft~Tarro~425 ml~| 4,706 €/L~2.0~/ud.~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza~https://tienda.mercadona.es/product/35361/salsa-fina-kraft-tarro~35361~2023-03-11 22:00:43.340304
