description,units,price_eu,unit_price,date,order_num,product_code
platano,4,1.82,0.455,2018-04-12,73955,3132.0
discos desmaquillantes deliplus redondos,1,0.95,0.95,2018-04-12,73955,79407.0
protegeslip normal deliplus,1,1.95,1.95,2018-04-12,73955,47351.0
compresa con alas normal evax cotton like,1,3.95,3.95,2018-04-12,73955,47152.0
calabacin verde,4,2.9,0.725,2018-04-12,73955,
aceite de oliva virgen hacendado,1,9.3,9.3,2018-04-12,73955,
vinagre de vino blanco hacendado,1,0.49,0.49,2018-04-12,73955,
yogur bifidus desnatado hacendado frutas del bosque,1,0.95,0.95,2018-04-12,73955,
yogur natural azucarado hacendado,1,1.44,1.44,2018-04-12,73955,20558.0
azucar moreno de cana integral acor,1,1.87,1.87,2018-04-12,73955,19832.0
azucar blanco,1,0.69,0.69,2018-04-12,73955,
suavizante ropa talco bosque verde concentrado,1,1.79,1.79,2018-04-12,73955,
amoniaco con detergente bosque verde,1,0.85,0.85,2018-04-12,73955,
limpiador banos bosque verde en gel,1,1.3,1.3,2018-04-12,73955,
fregasuelos pino bosque verde liquido,1,0.68,0.68,2018-04-12,73955,43347.0
ajo morado,1,1.75,1.75,2018-04-12,73955,
cebolla amarilla,1,1.29,1.29,2018-04-12,73955,
pan de molde con avena hacendado,1,1.25,1.25,2018-04-12,73955,
esparragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2018-04-12,73955,16561.0
alubia cocida blanca hacendado,2,1.18,0.59,2018-04-12,73955,5124.0
agua mineral cortes,1,0.73,0.73,2018-04-12,73955,
bacon hacendado cintas,1,1.85,1.85,2018-04-12,73955,
maiz dulce hacendado,1,0.95,0.95,2018-04-12,73955,
cafe en capsula sontuoso l'or espresso,2,6.58,3.29,2018-04-12,73955,
arroz cocido integral brillante,1,1.1,1.1,2018-04-12,73955,
longaniza de payes hacendado lonchas,1,1.45,1.45,2018-04-12,73955,
chocolate con leche lindt,1,1.15,1.15,2018-04-12,73955,
patata,1,3.5,3.5,2018-04-12,73955,
bacon oscar mayer lonchas,1,1.75,1.75,2018-04-12,73955,
chocolate con leche milka,1,1.01,1.01,2018-04-12,73955,
taquitos de chorizo revilla,1,2.1,2.1,2018-04-12,73955,
dentifrico max white one colgate,1,2.7,2.7,2018-04-12,73955,
leche desnatada pascual,1,5.34,5.34,2018-04-12,73955,
caldo de verduras hacendado,1,1.0,1.0,2018-04-12,73955,
chorizo extra hacendado lonchas,1,1.39,1.39,2018-04-12,73955,
jamon serrano incarlopsa lonchas extra finas,1,1.99,1.99,2018-04-12,73955,59151.0
mini taquitos de jamon incarlopsa,1,1.95,1.95,2018-04-12,73955,
queso rallado entrepinares,2,2.0,1.0,2018-04-12,73955,
lenteja cocida hacendado,2,1.18,0.59,2018-04-12,73955,5325.0
hogaza 100% natural,1,1.0,1.0,2018-04-12,73955,
cafe en capsula ristretto l'or espresso,3,9.87,3.29,2018-04-12,73955,
albondigas de carne tenedor plata ultracongeladas,1,1.6,1.6,2018-04-12,73955,
