product_code,product_price,collected_timestamp
5002.0,2.64,2023-03-11 
5014.0,1.7,2023-03-11 
9395.0,1.95,2023-03-11 
5020.0,1.54,2023-03-11 
9430.0,2.4,2023-03-11 
8713.0,1.5,2023-03-11 
5005.0,2.68,2023-03-11 
5050.0,1.82,2023-03-11 
26029.0,0.79,2023-03-11 
26039.0,0.7,2023-03-11 
26033.0,1.06,2023-03-11 
5214.0,2.4,2023-03-11 
5219.0,1.99,2023-03-11 
5220.0,2.5,2023-03-11 
26019.0,0.69,2023-03-11 
26028.0,0.65,2023-03-11 
26000.0,1.05,2023-03-11 
26001.0,1.1,2023-03-11 
5124.0,1.89,2023-03-11 
26023.0,2.2,2023-03-11 
67608.0,2.4,2023-03-11 
67609.0,2.55,2023-03-11 
26002.0,1.5,2023-03-11 
5128.0,2.16,2023-03-11 
5330.0,2.2,2023-03-11 
26030.0,0.87,2023-03-11 
26011.0,0.75,2023-03-11 
7329.0,1.85,2023-03-11 
5325.0,1.88,2023-03-11 
13577.0,0.76,2023-03-11 
6253.0,0.76,2023-03-11 
6261.0,0.76,2023-03-11 
6363.0,0.76,2023-03-11 
6258.0,0.76,2023-03-11 
6282.0,0.76,2023-03-11 
6256.0,0.76,2023-03-11 
6341.0,1.29,2023-03-11 
6333.0,0.95,2023-03-11 
6511.0,1.05,2023-03-11 
9490.0,1.9,2023-03-11 
6104.0,1.81,2023-03-11 
6305.0,0.95,2023-03-11 
6594.0,0.95,2023-03-11 
6358.0,1.24,2023-03-11 
6344.0,1.45,2023-03-11 
6260.0,0.76,2023-03-11 
6300.0,1.29,2023-03-11 
6250.0,1.24,2023-03-11 
6278.0,0.76,2023-03-11 
6361.0,1.24,2023-03-11 
6106.0,1.65,2023-03-11 
6371.0,0.95,2023-03-11 
6343.0,1.24,2023-03-11 
6357.0,1.24,2023-03-11 
6244.0,0.76,2023-03-11 
6102.0,1.81,2023-03-11 
6238.0,0.76,2023-03-11 
6326.0,0.76,2023-03-11 
6103.0,1.81,2023-03-11 
6276.0,0.76,2023-03-11 
6246.0,0.76,2023-03-11 
6595.0,0.95,2023-03-11 
6277.0,0.76,2023-03-11 
6321.0,1.29,2023-03-11 
6302.0,1.29,2023-03-11 
6322.0,1.29,2023-03-11 
6245.0,1.24,2023-03-11 
6331.0,0.76,2023-03-11 
6105.0,1.81,2023-03-11 
6366.0,1.24,2023-03-11 
6153.0,1.19,2023-03-11 
6565.0,1.24,2023-03-11 
6142.0,1.72,2023-03-11 
6143.0,1.72,2023-03-11 
6566.0,1.24,2023-03-11 
6175.0,1.12,2023-03-11 
6141.0,2.24,2023-03-11 
6145.0,1.72,2023-03-11 
6567.0,1.24,2023-03-11 
6149.0,2.48,2023-03-11 
6139.0,2.24,2023-03-11 
6152.0,2.24,2023-03-11 
86841.0,1.72,2023-03-11 
13495.0,2.48,2023-03-11 
86840.0,1.91,2023-03-11 
6856.0,1.43,2023-03-11 
6495.0,0.67,2023-03-11 
8648.0,1.95,2023-03-11 
8645.0,3.95,2023-03-11 
8618.0,1.55,2023-03-11 
8647.0,1.95,2023-03-11 
8729.0,1.3,2023-03-11 
86514.0,0.9,2023-03-11 
8727.0,1.3,2023-03-11 
8730.0,0.9,2023-03-11 
22453.0,1.0,2023-03-11 
