date,order_num,description,category,subcategory,units,price_eu,price_order,price_now
2021-10-19,337881,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.95,3.95,5.45
2021-09-07,9115773,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",2,8,4,5.45
2020-08-28,140937,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.99,3.99,5.45
2021-02-18,22016,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.9,3.9,5.45
2020-06-18,5857032,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.35,3.35,5.45
2022-12-12,13266605,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,4.8,4.8,5.45
2020-11-07,959862,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,3.99,3.99,5.45
2022-02-22,11422261,"Atún claro en aceite de oliva Hacendado","Conservas, caldos y cremas","Atún y otras conservas de pescado",1,4.3,4.3,5.45
2020-06-18,5857032,"Berberecho al natural XS Hacendado","Conservas, caldos y cremas","Berberechos y mejillones",2,5.8,2.9,2.6
2022-07-13,996926,"Mejillones en escabeche Hacendado medianos","Conservas, caldos y cremas","Berberechos y mejillones",2,3.5,1.75,2.4
2022-09-28,470822,"Mejillones en escabeche Hacendado medianos","Conservas, caldos y cremas","Berberechos y mejillones",2,4,2,2.4
2022-09-11,786946,"Mejillones en escabeche Hacendado medianos","Conservas, caldos y cremas","Berberechos y mejillones",1,2,2,2.4
2021-09-07,9115773,"Mejillones en escabeche Hacendado medianos","Conservas, caldos y cremas","Berberechos y mejillones",2,3.2,1.6,2.4
2021-08-05,8403972,"Mejillones en escabeche Hacendado medianos","Conservas, caldos y cremas","Berberechos y mejillones",2,3.2,1.6,2.4
2020-10-20,6858326,"Mejillones en escabeche Hacendado medianos","Conservas, caldos y cremas","Berberechos y mejillones",2,3,1.5,2.4
2020-06-18,5857032,"Mejillones en escabeche Hacendado medianos","Conservas, caldos y cremas","Berberechos y mejillones",2,3,1.5,2.4
2021-09-02,7475015,"Mejillones en escabeche Hacendado medianos","Conservas, caldos y cremas","Berberechos y mejillones",2,3,1.5,2.4
2019-02-27,125935,"Espárragos muy gruesos Hacendado enteros","Conservas, caldos y cremas","Conservas de verdura y frutas",1,2.53,2.53,3
2018-04-12,73955,"Espárragos muy gruesos Hacendado enteros","Conservas, caldos y cremas","Conservas de verdura y frutas",1,2.53,2.53,3
2018-11-13,61858,"Espárragos muy gruesos Hacendado enteros","Conservas, caldos y cremas","Conservas de verdura y frutas",1,2.53,2.53,3
2020-10-22,404271,"Corazones de alcachofas Hacendado","Conservas, caldos y cremas","Conservas de verdura y frutas",1,2.3,2.3,1.85
2020-11-18,546427,"Corazones de alcachofas Hacendado","Conservas, caldos y cremas","Conservas de verdura y frutas",1,2.3,2.3,1.85
2022-09-28,470822,"Corazones de alcachofas Hacendado","Conservas, caldos y cremas","Conservas de verdura y frutas",2,5.6,2.8,1.85
2020-12-15,686714,"Corazones de alcachofas Hacendado","Conservas, caldos y cremas","Conservas de verdura y frutas",1,2.3,2.3,1.85
2021-09-09,101295,"Corazones de alcachofas Hacendado","Conservas, caldos y cremas","Conservas de verdura y frutas",1,2.3,2.3,1.85
2022-09-11,786946,"Corazones de alcachofas Hacendado","Conservas, caldos y cremas","Conservas de verdura y frutas",1,2.8,2.8,1.85
2020-08-27,134160,"Corazones de alcachofas Hacendado","Conservas, caldos y cremas","Conservas de verdura y frutas",2,4.6,2.3,1.85
2022-07-13,996926,"Corazones de alcachofas Hacendado","Conservas, caldos y cremas","Conservas de verdura y frutas",1,1.6,1.6,1.85
2020-11-07,959862,"Corazones de alcachofas Hacendado","Conservas, caldos y cremas","Conservas de verdura y frutas",1,2.3,2.3,1.85
2022-12-12,13266605,"Sopa de pollo Gallina Blanca con fideos finos","Conservas, caldos y cremas","Sopa y caldo",1,3.45,3.45,0.85
2019-11-01,95302,"Caldo de pollo Avecrem en pastillas","Conservas, caldos y cremas","Sopa y caldo",1,2.6,2.6,2.95
2019-11-01,95302,"Caldo de verduras Hacendado en pastillas","Conservas, caldos y cremas","Sopa y caldo",1,0.44,0.44,0.85
2018-11-13,61858,"Caldo de verduras Hacendado en pastillas","Conservas, caldos y cremas","Sopa y caldo",1,0.44,0.44,0.85
