product_code,price_eu,collected_timestamp
22178.0,0.9,2024-03-13
22179.0,0.9,2024-03-13
22189.0,2.65,2024-03-13
22191.0,2.75,2024-03-13
22186.0,2.65,2024-03-13
22194.0,2.65,2024-03-13
22182.0,0.9,2024-03-13
80490.0,0.9,2024-03-13
35961.0,2.75,2024-03-13
22442.0,0.85,2024-03-13
22443.0,0.85,2024-03-13
9192.0,2.95,2024-03-13
9456.0,3.05,2024-03-13
9193.0,2.95,2024-03-13
35403.0,3.45,2024-03-13
60400.0,0.85,2024-03-13
9049.0,11.7,2024-03-13
9040.0,1.95,2024-03-13
9057.0,11.7,2024-03-13
9034.0,1.95,2024-03-13
9187.0,7.5,2024-03-13
9188.0,1.25,2024-03-13
9189.0,1.95,2024-03-13
9054.0,1.95,2024-03-13
9190.0,2.3,2024-03-13
9398.0,9.6,2024-03-13
9397.0,1.6,2024-03-13
9421.0,11.9,2024-03-13
9407.0,11.95,2024-03-13
9420.0,14.95,2024-03-13
9408.0,17.95,2024-03-13
9406.0,17.95,2024-03-13
35599.0,5.45,2024-03-13
35602.0,5.45,2024-03-13
35601.0,5.45,2024-03-13
9581.0,3.9,2024-03-13
9580.0,3.9,2024-03-13
9579.0,2.95,2024-03-13
9582.0,3.6,2024-03-13
79715.0,3.0,2024-03-13
79470.0,3.5,2024-03-13
79473.0,2.5,2024-03-13
79476.0,2.5,2024-03-13
79576.0,2.5,2024-03-13
79501.0,2.9,2024-03-13
79663.0,1.95,2024-03-13
79493.0,1.95,2024-03-13
79497.0,1.95,2024-03-13
46641.0,2.05,2024-03-13
46643.0,2.7,2024-03-13
46978.0,3.7,2024-03-13
79344.0,2.75,2024-03-13
79600.0,3.7,2024-03-13
47106.0,3.65,2024-03-13
52760.0,4.4,2024-03-13
35516.0,2.85,2024-03-13
60857.0,1.8,2024-03-13
46559.0,3.2,2024-03-13
79006.0,3.23,2024-03-13
78132.0,1.97,2024-03-13
47489.0,0.9,2024-03-13
47474.0,1.8,2024-03-13
79581.0,5.5,2024-03-13
79582.0,4.2,2024-03-13
35595.0,1.7,2024-03-13
52856.0,1.05,2024-03-13
79603.0,3.0,2024-03-13
79427.0,1.05,2024-03-13
79428.0,0.75,2024-03-13
79429.0,1.4,2024-03-13
22931.0,0.6,2024-03-13
79433.0,1.7,2024-03-13
35356.0,1.8,2024-03-13
13693.0,12.2,2024-03-13
35472.0,6.6,2024-03-13
52868.0,7.15,2024-03-13
47287.0,15.6,2024-03-13
52879.0,19.75,2024-03-13
47598.0,16.5,2024-03-13
47597.0,5.6,2024-03-13
47600.0,17.25,2024-03-13
47599.0,5.85,2024-03-13
35390.0,17.95,2024-03-13
47605.0,17.85,2024-03-13
47601.0,6.05,2024-03-13
35391.0,17.95,2024-03-13
47623.0,6.3,2024-03-13
35392.0,14.0,2024-03-13
35246.0,11.0,2024-03-13
47475.0,2.5,2024-03-13
47038.0,7.4,2024-03-13
47039.0,7.4,2024-03-13
47366.0,10.65,2024-03-13
47367.0,10.65,2024-03-13
66462.0,3.72,2024-03-13
66463.0,0.31,2024-03-13
27338.0,8.28,2024-03-13
27100.0,0.82,2024-03-13
