product,unidades,product_code
Refresco lima limón Hacendado fresh gas,6 latas x 330 ml ,29047.0
Refresco lima limón Hacendado fresh gas,Lata 330 ml,29048.0
Refresco lima limón Hacendado zero azúcar fresh gas,Botella 2 L,29064.0
Refresco Fanta naranja,2 botellas x 2 L ,27526.0
Refresco Fanta naranja,Botella 2 L,27508.0
Refresco Fanta naranja,9 latas x 330 ml ,27571.0
Refresco Fanta naranja,Lata 330 ml,27502.0
Refresco Fanta naranja zero azúcares añadidos,Botella 2 L,27545.0
Refresco Fanta naranja zero azúcares añadidos,Lata 330 ml,27510.0
Refresco de naranja Hacendado fresh gas,Botella 2 L,29075.0
Refresco de naranja Hacendado fresh gas,6 latas x 330 ml ,29039.0
Refresco de naranja Hacendado fresh gas,Lata 330 ml,29040.0
Refresco de naranja Hacendado zero fresh gas,Botella 2 L,29076.0
Refresco de naranja Hacendado zero fresh gas,6 latas x 330 ml ,29041.0
Refresco de naranja Hacendado zero fresh gas,Lata 330 ml,29042.0
Tónica original Schweppes, ,27666.0
Tónica original Schweppes, ,27667.0
Tónica original Schweppes, ,29247.0
Tónica original Schweppes, ,86117.0
Tónica original Schweppes, ,86118.0
Tónica Hacendado, ,27034.0
Tónica Hacendado, ,28034.0
Tónica Hacendado, ,27980.0
Tónica zero calorías Schweppes, ,27487.0
Tónica zero calorías Schweppes, ,27488.0
Tónica Nordic Mist, ,27234.0
Tónica Nordic Mist, ,27017.0
Ginger ale Schweppes, ,27875.0
Ginger ale Schweppes,Lata 330 ml,27876.0
Tónica pink Schweppes, ,28922.0
Tónica pink Schweppes, ,28926.0
Bitter Kas sin alcohol, ,28435.0
Bitter Kas sin alcohol, ,28433.0
Refresco al limón Nestea,8 latas x 330 ml ,28509.0
Refresco al limón Nestea,Lata 330 ml,27801.0
Refresco al limón Nestea,"Botella 1,5 L",27903.0
Refresco té verde Hacendado,"Botella 1,5 L",27832.0
Refresco té sabor limón Hacendado cero,"Botella 1,5 L",27805.0
Refresco té sabor mango Hacendado cero,"Botella 1,5 L",28154.0
Refresco té sabor limón Hacendado,"Botella 1,5 L",67938.0
Refresco ice tea sabor melocotón Hacendado zero,"Botella 1,5 L",86137.0
Refresco té con limón Hacendado para diluir sin azúcar,Caja 12 sobres (36 g),11307.0
Refresco té con melocotón Hacendado para diluir, ,11319.0
Limonada Don Simón light sin gas,Botella 2 L,11319.0
Refresco de naranja Simon Life sin gas,"Botella 1,5 L",27951.0
Refresco de naranja Gold Spring sin gas, ,28077.0
Refresco de naranja Gold Spring sin gas,4 botellas x 330 ml ,27842.0
Refresco fusión de frutas Gold Spring cero sin gas,Botella 2 L,28187.0
Refresco de naranja Trina sin gas,"Botella 1,5 L",27755.0
Bebida Florida Sunny Delight,"Botella 1,25 L",27759.0
Refresco de manzana sin gas,"Botella 1,5 L",13606.0
Refresco piña-coco Gold Spring cero sin gas,Botella 2 L,28191.0
Agua de coco Chaokoh 100% natural,Brick 1 L,28198.0
Refresco sandía Gold Spring cero sin gas,Botella 2 L,28190.0
Refresco Caribe Gold Spring cero sin gas,Botella 2 L,28193.0
Limonada Hacendado light sin gas,4 botellas x 330 ml ,15988.0
Aceitunas manzanilla rellenas de anchoa Hacendado,3 botes x 150 g ,22910.0
Aceitunas manzanilla rellenas de anchoa Hacendado,3 botes x 50 g ,23217.0
Aceitunas manzanilla rellenas de anchoa Hacendado,Bote 350 g (150 g escurrido),22911.0
Aceitunas manzanilla Hacendado sin hueso,Tarro 835 g (400 g escurrido),33053.0
Aceitunas manzanilla rellenas de anchoa Hacendado reducidas en sal,3 botes x 50 g ,33078.0
Aceitunas chupadedos Huerta de Barros partidas aliñadas con hueso,Tarro 980 g (600 g escurrido),33168.0
Aceitunas gazpacha Hacendado con hueso,Tarro 835 g (500 g escurrido),80177.0
Aceitunas rellenas de anchoa Hacendado selección,Bote 350 g (150 g escurrido),23759.0
Aceitunas manzanilla Hacendado sin hueso,3 paquetes x 75 g ,33114.0
Aceitunas estilo caseras Hacendado aliñadas,Tarro 935 g (550 g escurrido),13422.0
Aceitunas manzanilla Hacendado con hueso,Tarro 835 g (500 g escurrido),80016.0
Aceitunas rellenas de limón Hacendado,Bote 350 g (150 g escurrido),33126.0
Aceitunas manzanilla aliñadas Hacendado sin hueso,Tarro 420 g (200 g escurrido),33121.0
Aceitunas chupadedos Huerta de Barros partidas aliñadas con hueso,Tarro 350 g (185 g escurrido),60718.0
Aceitunas rellenas de jalapeño Hacendado,Bote 350 g (150 g escurrido),33178.0
Aceitunas aloreña Roldán partida con hueso,"Bote 1,33 kg (830 g escurrido)",33059.0
Aceitunas rellenas de pimiento asado Hacendado,Bote 350 g (150 g escurrido),23708.0
Aceitunas manzanilla sabor anchoa Hacendado con hueso calibre grande,Tarro 935 g (530 g escurrido),33120.0
Aceitunas manzanilla sabor anchoa Hacendado con hueso calibre pequeño,Tarro 430 g (250 g escurrido),33205.0
Aceitunas aliñadas Hacendado sin hueso,Tarro 835 g (400 g escurrido),33128.0
Aceitunas hojiblanca Dcoop partida con hueso,"Bote 1,23 kg (700 g escurrido)",15575.0
Aceitunas arbequina Hacendado con hueso,Tarro 370 g (210 g escurrido),67915.0
Aceitunas negras Hacendado sin hueso,Bote 350 g (150 g escurrido),33249.0
Aceitunas negras naturales de Aragón Hacendado,Tarro 250 g,22240.0
Aceitunas negras Hacendado con hueso,Bote 350 g (185 g escurrido),16851.0
Aceitunas arrugadas negras de Aragón Campo Nature,Tarro 210 g,33113.0
Aceitunas negras Hacendado a rodajas,3 botes x 50 g ,86593.0
Banderillas picantes Hacendado,Tarro 345 g (160 g escurrido),33235.0
