description,units,price_eu,unit_price,date,order_num,user
Tempura 7 verduras Hacendado ultracongelada,1,1.85,1.85,2019-05-09,278125,family
Salmorejo fresco Hacendado,1,2.96,2.96,2019-05-09,278125,family
Ensalada poke salmón,1,3.85,3.85,2019-05-09,278125,family
Queso en dados feta Hacendado,1,1.7,1.7,2019-05-09,278125,family
Gazpacho fresco Hacendado,1,2.69,2.69,2019-05-09,278125,family
Canónigos base para ensalada,1,1.19,1.19,2019-05-09,278125,family
Bolsa de basura grande Bosque Verde 50L cubo grande,1,1.55,1.55,2019-05-09,278125,family
Lavavajillas todo en 1 Bosque Verde en pastillas,1,2.7,2.7,2019-05-09,278125,family
Guantes de látex Rubberex talla pequeña,1,0.7,0.7,2019-05-09,278125,family
Salfumant Bosque Verde,1,0.75,0.75,2019-05-09,278125,family
Detergente ropa blanca y de color Bosque Verde líquido concentrado,1,6.95,6.95,2019-05-09,278125,family
Lejía con detergente Bosque Verde,1,0.71,0.71,2019-05-09,278125,family
Placas para lasaña precocidas El Pavo,1,1.25,1.25,2019-05-09,278125,family
Placas para canelones Del Castillo,1,0.58,0.58,2019-05-09,278125,family
Ketchup Heinz,1,2.45,2.45,2019-05-09,278125,family
Spaghetti Hacendado,2,1.5,0.75,2019-05-09,278125,family
Nidos al huevo tagliatelle Hacendado,1,1.15,1.15,2019-05-09,278125,family
Champú anticaspa H&S cabello graso,1,2.99,2.99,2020-06-07,935378,family
Champú repara & protege Pantene cabello débil y dañado,3,8.97,2.99,2020-06-07,935378,family
Gel de baño oliva Deliplus piel seca,3,4.05,1.35,2020-06-07,935378,family
Judía verde plana,1,2.49,2.49,2020-06-07,935378,family
Tomates cherry,1,1.49,1.49,2020-06-07,935378,family
Caldo de pollo Hacendado,1,1.64,1.64,2020-06-07,935378,family
Dentífrico original Binaca,2,3.0,1.5,2020-06-07,935378,family
Dentífrico max white one Colgate,2,5.4,2.7,2020-06-07,935378,family
Discos desmaquillantes Deliplus redondos,2,1.9,0.95,2020-06-07,935378,family
Crackers integrales de espelta Bachman,1,1.5,1.5,2020-06-07,935378,family
Hogaza 100% natural,1,1.0,1.0,2020-06-07,935378,family
"Pan con semillas 4,5% rebanado",1,1.5,1.5,2020-06-07,935378,family
Mascarillas higiénicas no reutilizables Deliplus,1,6.0,6.0,2020-06-07,935378,family
Bolsa de basura grande Bosque Verde 50L cubo grande,1,1.55,1.55,2020-06-07,935378,family
Puerros,1,1.01,1.01,2020-06-07,935378,family
Servilleta papel cocktail color Bosque Verde,2,2.6,1.3,2019-06-20,208575,family
Azafrán molido Hacendado,1,1.55,1.55,2019-06-20,208575,family
Pimentón dulce Hacendado,1,0.9,0.9,2019-06-20,208575,family
Tomate troceado pelado Hacendado,3,1.86,0.62,2019-06-20,208575,family
Cebolla,1,1.3,1.3,2019-06-20,208575,family
Ajo morado,1,1.2,1.2,2019-06-20,208575,family
Aceite de oliva virgen extra Hacendado,1,3.69,3.69,2019-06-20,208575,family
Triángulos de maíz tex-mex Doritos,2,2.7,1.35,2019-06-20,208575,family
Patatas fritas extra crujientes Hacendado,2,2.9,1.45,2019-06-20,208575,family
Aceitunas rellenas de anchoa Hacendado,1,3.1,3.1,2019-06-20,208575,family
Fuet espetec extra Hacendado,3,5.94,1.98,2019-06-20,208575,family
Almendra frita marcona Hacendado,1,3.8,3.8,2019-06-20,208575,family
Hummus de garbanzos Hacendado receta clásica,2,4.58,2.29,2019-06-20,208575,family
Nachos Hacendado,6,5.1,0.85,2019-06-20,208575,family
Guacamole,3,9.87,3.29,2019-06-20,208575,family
Tabla de quesos nacionales,4,15.0,3.75,2019-06-20,208575,family
Lambrusco dell'Emilia rosado espumoso Piccolo Giovanni,5,9.25,1.85,2019-06-20,208575,family
Vino blanco semidulce L'Antigón D.O Valencia,5,7.45,1.49,2019-06-20,208575,family
Refresco Coca-Cola zero azúcar,1,2.72,2.72,2019-06-20,208575,family
Refresco Coca-Cola,2,5.44,2.72,2019-06-20,208575,family
Refresco Fanta naranja,2,2.58,1.29,2019-06-20,208575,family
Refresco Fanta limón,8,10.56,1.32,2019-06-20,208575,family
Tónica Nordic Mist,6,18.72,3.12,2019-06-20,208575,family
Vodka Absolut,2,23.9,11.95,2019-06-20,208575,family
Ron dominicano añejo superior Brugal,3,40.95,13.65,2019-06-20,208575,family
Ginebra London dry gin Beefeater,8,102.32,12.79,2019-06-20,208575,family
Cerveza Clásica Steinburg,12,36.0,3.0,2019-06-20,208575,family
Gelatina sabor fresa Hacendado,1,0.85,0.85,2022-07-13,996926,family
Patatas,1,4.4,4.4,2022-07-13,996926,family
Refresco Coca-Cola Zero azúcar,1,8.4,8.4,2022-07-13,996926,family
Cerveza tostada Turia,1,6.0,6.0,2022-07-13,996926,family
Longaniza de payés Hacendado lonchas,1,1.83,1.83,2022-07-13,996926,family
Jamón cocido extra Hacendado finas lonchas,1,3.17,3.17,2022-07-13,996926,family
Pechuga de pavo bajo en sal Hacendado finas lonchas,1,3.19,3.19,2022-07-13,996926,family
Limpiamáquinas lavavajillas líquido Bosque Verde,1,1.7,1.7,2022-07-13,996926,family
Trampa antipolillas de los alimentos Bosque Verde,1,2.0,2.0,2022-07-13,996926,family
Estropajo suciedad resistente Bosque Verde,1,0.85,0.85,2022-07-13,996926,family
Lavavajillas Ultra Original Fairy líquido,1,3.25,3.25,2022-07-13,996926,family
Abrillantador lavavajillas líquido Bosque Verde,1,1.2,1.2,2022-07-13,996926,family
Limpia lavadoras Bosque Verde líquido,1,2.0,2.0,2022-07-13,996926,family
Limpiador Cal y Suciedad Cillit Bang,1,3.9,3.9,2022-07-13,996926,family
Mejillones en escabeche Hacendado medianos,2,3.5,1.75,2022-07-13,996926,family
Maíz dulce Hacendado,1,1.25,1.25,2022-07-13,996926,family
Salsa fresca Roquefort Hacendado,1,1.3,1.3,2022-07-13,996926,family
Tomate frito receta artesana Hacendado,1,1.85,1.85,2022-07-13,996926,family
Fregona microfibra absorbente Bosque Verde,1,2.95,2.95,2020-11-18,546427,family
Limpiador baños Bosque Verde en gel,1,1.3,1.3,2020-11-18,546427,family
Quitagrasas KH-7,1,2.69,2.69,2020-11-18,546427,family
Suavizante ropa azul Bosque Verde concentrado,1,1.79,1.79,2020-11-18,546427,family
Lavavajillas ultra original Fairy líquido,1,2.8,2.8,2020-11-18,546427,family
Salmón marinado Ubago,1,2.35,2.35,2020-11-18,546427,family
Corazones de alcachofa Hacendado,1,2.3,2.3,2020-11-18,546427,family
Fideo mediano Hacendado,1,0.69,0.69,2020-11-18,546427,family
Fideo cabello de ángel Hacendado,1,0.45,0.45,2020-11-18,546427,family
Penne integral Hacendado,1,0.89,0.89,2020-11-18,546427,family
Fusilli Armando,1,0.95,0.95,2020-11-18,546427,family
Spaghetti al huevo Hacendado,2,1.98,0.99,2020-11-18,546427,family
Macarrón al huevo Hacendado,1,0.99,0.99,2020-11-18,546427,family
Queso en polvo grana padano Hacendado,1,1.5,1.5,2020-11-18,546427,family
Queso Emmental Natual,1,2.15,2.15,2020-11-18,546427,family
Queso havarti light Hacendado lonchas,1,2.58,2.58,2020-11-18,546427,family
Jamón cocido extra Hacendado finas lonchas,1,2.99,2.99,2020-11-18,546427,family
Pechuga de pavo Hacendado finas lonchas,1,2.89,2.89,2020-11-18,546427,family
Salmón marinado Ubago,1,2.35,2.35,2019-01-31,107492,family
Mozzarella fresca Hacendado,2,1.6,0.8,2019-01-31,107492,family
Berenjena,3,2.41,0.8033333333333333,2019-01-31,107492,family
Anguriñas Pescanova ultracongeladas,1,1.99,1.99,2019-01-31,107492,family
Espárrago verde entero Jv ultracongelado,1,2.6,2.6,2019-01-31,107492,family
Porciones de merluza del cabo Mascato ultracongeladas,1,3.8,3.8,2019-01-31,107492,family
Verdura floretas de brócoli para micro,1,1.2,1.2,2019-01-31,107492,family
Brócoli,1,1.22,1.22,2019-01-31,107492,family
Limpiador muebles jabonoso Bosque Verde para madera tratada,1,1.45,1.45,2019-01-31,107492,family
Limpiador antical Bosque Verde,1,1.6,1.6,2019-01-31,107492,family
Pizza masa fina jamón Hacendado ultracongelada,1,2.29,2.29,2019-01-31,107492,family
Pizza ibérica Hacendado ultracongelada,1,2.0,2.0,2019-01-31,107492,family
Pizza mozzarella y pesto Hacendado ultracongelada,1,2.0,2.0,2019-01-31,107492,family
Pizza masa fina 4 quesos Hacendado ultracongelada,1,2.29,2.29,2019-01-31,107492,family
Atún claro en aceite de oliva Hacendado,2,7.98,3.99,2019-01-31,107492,family
