description,units,price_eu,unit_price,date,order_num,product_code
gazpacho fresco hacendado,1,2.4,2.4,2022-09-28,470822,
atun claro en aceite de oliva hacendado,2,9.3,4.65,2022-09-28,470822,
aceite de oliva virgen extra hacendado,1,12.7,12.7,2022-09-28,470822,
limpiacristales y multiusos bosque verde,1,1.15,1.15,2022-09-28,470822,
fregona resistente y absorbente bosque verde,1,1.85,1.85,2022-09-28,470822,
palitos de pan 100% integral anitin,1,1.35,1.35,2022-09-28,470822,
rosquilletas de horno anitin,1,1.45,1.45,2022-09-28,470822,
barra de pan tradicional,1,1.2,1.2,2022-09-28,470822,
patatas,1,4.4,4.4,2022-09-28,470822,
cebollas,1,1.99,1.99,2022-09-28,470822,
quitagrasas kh-7,1,3.4,3.4,2022-09-28,470822,
leche desnatada pascual,2,13.08,6.54,2022-09-28,470822,
zanahorias,1,0.59,0.59,2022-09-28,470822,
caldo de pollo avecrem en pastillas,1,2.6,2.6,2019-11-01,95302,
cebolla,1,1.05,1.05,2019-11-01,95302,
estropajo verde bosque verde con esponja,1,1.0,1.0,2019-11-01,95302,
fregasuelos spa bosque verde liquido,1,1.05,1.05,2019-11-01,95302,
limpiacristales y multiusos bosque verde,1,1.15,1.15,2019-11-01,95302,
arroz redondo la fallera,1,1.35,1.35,2019-11-01,95302,
compresa con alas normal evax cotton like,1,3.95,3.95,2019-11-01,95302,
aceite de oliva virgen hacendado,1,9.3,9.3,2019-11-01,95302,
platano,4,1.11,0.2775,2019-11-01,95302,
desodorante roll-on unisex sanex dermo extra control,1,1.8,1.8,2019-11-01,95302,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2019-11-01,95302,
caldo de verduras en pastillas,1,0.44,0.44,2019-11-01,95302,
galletas cookies hacendado,1,1.25,1.25,2019-11-01,95302,
tomate frito hacendado,1,0.8,0.8,2019-11-01,95302,
"champu agua de coco fructis raices grasas, puntas secas",2,5.9,2.95,2019-11-01,95302,
atun claro en aceite de oliva hacendado,1,3.95,3.95,2021-09-28,209834,
cafe en capsula ristretto l'or espresso,4,13.6,3.4,2021-09-28,209834,
papel higienico doble rollo bosque verde,1,3.95,3.95,2021-09-28,209834,
gelatina 0% azucar sabor fresa hacendado,1,0.9,0.9,2021-09-28,209834,
agua mineral grande cortes,2,1.46,0.73,2021-09-28,209834,
leche desnatada pascual,2,10.68,5.34,2021-09-28,209834,
salmon ahumado hacendado,1,3.11,3.11,2021-09-28,209834,
aceite de oliva virgen extra hacendado,1,11.0,11.0,2021-09-28,209834,
comida perro adulto supreme compy con pollo y arroz,1,4.15,4.15,2021-09-28,209834,
jabon de manos neutralizante de olores deliplus liquido,1,1.5,1.5,2021-09-28,209834,
arroz cocido integral sabroz,1,1.0,1.0,2021-09-28,209834,
garbanzo cocido hacendado,2,1.6,0.8,2022-04-02,986079,
agua mineral grande cortes,2,1.46,0.73,2022-04-02,986079,
champu fuerza & brillo fructis cabello normal,1,2.95,2.95,2019-10-04,156155,
refresco coca-cola,1,6.6,6.6,2019-10-04,156155,
refresco coca-cola zero azucar,1,6.6,6.6,2019-10-04,156155,
papel multiusos jumbo resistente bosque verde,1,2.89,2.89,2019-10-04,156155,
yogur natural hacendado 0% materia grasa 0% sin azucares,1,0.77,0.77,2019-10-04,156155,
ajo morado,1,1.2,1.2,2019-10-04,156155,
lavavajillas ultra original fairy liquido,1,2.8,2.8,2019-10-04,156155,
fregasuelos spa bosque verde liquido,1,1.05,1.05,2019-10-04,156155,
aceitunas negras cacerenas hacendado a rodajas,1,1.5,1.5,2019-10-04,156155,
jamon cocido extra hacendado finas lonchas,1,2.99,2.99,2019-10-04,156155,
atun claro en aceite de oliva hacendado,1,3.99,3.99,2019-10-04,156155,
albondigas de carne tenedor plata ultracongeladas,1,1.6,1.6,2019-10-04,156155,
limpiacristales y multiusos bosque verde,1,1.15,1.15,2019-10-04,156155,
cebolla,1,1.8,1.8,2019-10-04,156155,
pizza masa fina 4 quesos hacendado ultracongelada,1,2.29,2.29,2019-10-04,156155,
desodorante unisex deliplus cuidado aloe,1,1.4,1.4,2018-11-13,61858,
desodorante roll-on unisex sanex dermo extra control,1,1.8,1.8,2018-11-13,61858,
"champu agua de coco fructis raices grasas, puntas secas",2,5.9,2.95,2018-11-13,61858,
crema suavizante deliplus para todo tipo de cabello,1,0.99,0.99,2018-11-13,61858,
tomate frito hacendado,1,0.8,0.8,2018-11-13,61858,
tomate frito receta artesana hacendado,2,3.4,1.7,2018-11-13,61858,
caldo de verduras en pastillas,1,0.44,0.44,2018-11-13,61858,
esparragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2018-11-13,61858,
maiz dulce hacendado,1,0.95,0.95,2018-11-13,61858,
berberechos al natural s du nord,1,1.78,1.78,2018-11-13,61858,
atun claro en aceite de oliva hacendado,1,3.99,3.99,2018-11-13,61858,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2018-11-13,61858,
queso en porciones light el caserio,1,1.7,1.7,2018-11-13,61858,
queso rallado entrepinares,1,1.0,1.0,2018-11-13,61858,
queso en polvo grana padano zanetti,1,1.4,1.4,2018-11-13,61858,
dados de queso curado y cheddar hacendado,1,0.99,0.99,2018-11-13,61858,
jamon serrano incarlopsa lonchas extra finas,1,1.99,1.99,2018-11-13,61858,
salchichon extra hacendado lonchas,1,1.39,1.39,2018-11-13,61858,
jamon cocido extra hacendado finas lonchas,1,2.99,2.99,2018-11-13,61858,
galletas oreo,2,2.0,1.0,2018-11-13,61858,
galletas cookies hacendado,1,1.25,1.25,2018-11-13,61858,
cafe en capsula sontuoso l'or espresso,2,6.58,3.29,2018-11-13,61858,
cafe en capsula ristretto l'or espresso,3,9.87,3.29,2018-11-13,61858,
chocolate con leche lindt,1,1.15,1.15,2018-11-13,61858,
