description,units,price_eu,unit_price,date,order_num
Cacao soluble Cola cao original,1,11.5,11.5,2021-08-05,8403972
Golosinas Pulpis Mix Hacendado con pica pica,1,1.0,1.0,2021-08-05,8403972
Patatas fritas sabor salsa vinagreta Lay's,1,1.56,1.56,2021-08-05,8403972
Picos saladitos Hacendado,2,2.0,1.0,2021-08-05,8403972
Vino blanco albariño D.O Rías Baixas Pazo de Orantes,2,7.1,3.55,2021-08-05,8403972
Vino tinto D.O Ribera del Duero Abadía Mantrús roble,2,6.3,3.15,2021-08-05,8403972
Mini taquitos de jamón Incarlopsa,2,4.3,2.15,2021-08-05,8403972
Papel multiusos resistente Bosque Verde,1,2.7,2.7,2021-08-05,8403972
Esponja facial desmaquillante Deliplus vegetal,1,1.15,1.15,2021-08-05,8403972
Discos desmaquillantes Deliplus redondos algodón 100%,2,1.9,0.95,2021-08-05,8403972
Galletas Relieve Hacendado,1,0.9,0.9,2021-08-05,8403972
Barritas chocolate con leche Nestlé con galleta rellena de caramelo y cereales,1,0.85,0.85,2021-08-05,8403972
Cereales de trigo inflado Hacendado con miel,1,1.3,1.3,2021-08-05,8403972
Tubitos bañados chocolate negro Hacendado,2,3.4,1.7,2021-08-05,8403972
Barquillos rellenos de chocolate Hacendado,2,1.4,0.7,2021-08-05,8403972
Desodorante invisible black & white Nivea Men,2,3.0,1.5,2021-08-05,8403972
Desodorante cuidado aloe Deliplus,2,2.8,1.4,2021-08-05,8403972
Mini tartaletas Confiletas,2,3.3,1.65,2021-08-05,8403972
Dentífrico triple acción Colgate con flúor,2,2.8,1.4,2021-08-05,8403972
Acondicionador Hidratación Intensa TRESemmé cabello seco o dañado,1,4.5,4.5,2021-08-05,8403972
Champú Hidratación Intensa TRESemmé cabello seco o dañado,1,4.5,4.5,2021-08-05,8403972
Pan de molde blanco sin corteza Hacendado,2,2.0,1.0,2021-08-05,8403972
Ajos morados,1,1.45,1.45,2021-08-05,8403972
Cebollas,1,1.6,1.6,2021-08-05,8403972
Yogur líquido desnatado natural Hacendado edulcorado,2,2.32,1.16,2021-08-05,8403972
Berlina glacé,1,1.2,1.2,2021-08-05,8403972
Berberecho al natural XS Hacendado,3,5.7,1.9000000000000001,2021-08-05,8403972
Zumo pura naranja Hacendado,2,2.0,1.0,2021-08-05,8403972
Zumo de manzana Hacendado,2,1.18,0.59,2021-08-05,8403972
Gelatina + proteínas Hacendado sabor a frutos silvestres,2,2.0,1.0,2021-08-05,8403972
Quitagrasas Bosque Verde perfume Marsella,1,1.3,1.3,2021-08-05,8403972
Estropajo suciedad resistente Bosque Verde,1,0.9,0.9,2021-08-05,8403972
Estropajo suciedad resistente Bosque Verde,1,0.65,0.65,2021-08-05,8403972
Pan rallado Hacendado,2,1.2,0.6,2021-08-05,8403972
Azúcar moreno de caña Acor,1,1.7,1.7,2021-08-05,8403972
Picos reventaos Hacendado,1,0.6,0.6,2021-08-05,8403972
Picos Hacendado,1,0.45,0.45,2021-08-05,8403972
Batido de chocolate Hacendado,2,2.1,1.05,2021-08-05,8403972
Pizza 4 quesos familiar Hacendado,1,2.99,2.99,2021-08-05,8403972
Pizza jamón y queso familiar Hacendado,1,2.99,2.99,2021-08-05,8403972
Snack perro corazones Compy,1,1.29,1.29,2021-08-05,8403972
Snack perro barritas Compy con ternera y cordero,1,1.2,1.2,2021-08-05,8403972
Mini aritos perro adulto Compy,2,7.9,3.95,2021-08-05,8403972
Peeling para labios Color Care Deliplus 07 albaricoque,1,4.0,4.0,2021-08-05,8403972
Pincel mofeta Deliplus,1,6.0,6.0,2021-08-05,8403972
Bandas de cera facial Deliplus piel sensible,4,4.4,1.1,2021-08-05,8403972
Mascarilla facial peeling de guayaba rosa Montagne Jeunesse,1,1.5,1.5,2021-08-05,8403972
Mascarilla facial de barro con aceite de argán Montagne Jeunesse,1,1.5,1.5,2021-08-05,8403972
Lavavajillas ultra concentrado Bosque Verde,1,1.8,1.8,2021-08-05,8403972
Galletas Dinosaurus con cereales,2,3.1,1.55,2021-08-05,8403972
Aceite de oliva virgen extra Hacendado,1,9.5,9.5,2021-08-05,8403972
Queso rallado Hacendado especial fundir,1,1.0,1.0,2021-08-05,8403972
Tomate triturado Hacendado,2,1.4,0.7,2021-08-05,8403972
Bolsa de basura grande Bosque Verde 50L cubo grande,1,1.4,1.4,2021-08-05,8403972
Spaghetti Hacendado,1,0.73,0.73,2021-08-05,8403972
Leche condensada entera Nutricia,1,1.3,1.3,2021-08-05,8403972
Nata ligera para cocinar Hacendado,1,1.32,1.32,2021-08-05,8403972
Queso roquefort Cantorel,2,2.9,1.45,2021-08-05,8403972
Fideos orientales Yatekomo de pollo Gallina Blanca,1,2.85,2.85,2021-08-05,8403972
Gel de baño oliva Deliplus piel seca,2,2.4,1.2,2021-08-05,8403972
Acelgas,1,1.8,1.8,2021-08-05,8403972
Pechuga de pavo al horno de leña Campofrío lonchas,3,4.65,1.55,2021-08-05,8403972
Palitos de pan con queso Anitin,1,1.19,1.19,2021-08-05,8403972
Palitos de pan con pipas Anitin,1,1.19,1.19,2021-08-05,8403972
Tacos de bacalao sin espinas Hacendado congelado,1,3.98,3.98,2021-08-05,8403972
Aceitunas manzanilla rellenas de anchoa Hacendado reducidas en sal,1,1.8,1.8,2021-08-05,8403972
11 Panecillos,1,1.0,1.0,2021-08-05,8403972
Zanahorias,1,0.69,0.69,2021-08-05,8403972
Mantequilla con sal Hacendado,2,3.3,1.65,2021-08-05,8403972
Queso azul Hacendado,2,3.5,1.75,2021-08-05,8403972
Huevos grandes L,1,2.6,2.6,2021-08-05,8403972
Leche evaporada Hacendado,2,1.7,0.85,2021-08-05,8403972
Papel higiénico doble rollo Bosque Verde,1,3.82,3.82,2021-08-05,8403972
Jamón serrano Incarlopsa lonchas extrafinas,3,6.57,2.19,2021-08-05,8403972
Zumo de melocotón y uva Hacendado,2,1.16,0.58,2021-08-05,8403972
Galletas mini Chips Ahoy,1,1.45,1.45,2021-08-05,8403972
Panecillo de trigo integral 30%,2,0.36,0.18,2021-08-05,8403972
Café en cápsula sontuoso L'Or Espresso,5,17.0,3.4,2021-08-05,8403972
Longaniza de Pascua Hacendado,1,3.0,3.0,2021-08-05,8403972
Cerveza clásica Mahou,1,5.88,5.88,2021-08-05,8403972
Patatas,1,4.99,4.99,2021-08-05,8403972
Toallitas bebé frescas & perfumadas Deliplus,1,0.95,0.95,2021-08-05,8403972
Yogur sabores Hacendado,3,2.85,0.9500000000000001,2021-08-05,8403972
Mejillones en escabeche Hacendado medianos,2,3.2,1.6,2021-08-05,8403972
Aceitunas negras Hacendado sin hueso,2,1.6,0.8,2021-08-05,8403972
Fuet espetec extra Hacendado,4,7.96,1.99,2021-08-05,8403972
Leche desnatada Pascual,4,19.2,4.8,2021-08-05,8403972
Filetes pechuga de pollo corte fino,1,4.46,4.46,2021-08-05,8403972
Filetes pechuga de pollo corte fino,1,4.07,4.07,2021-08-05,8403972
Alas de pollo partidas,1,2.71,2.71,2021-08-05,8403972
Cuartos traseros familiar de pollo,1,4.14,4.14,2021-08-05,8403972
Solomillo de cerdo,1,2.95,2.95,2021-08-05,8403972
Solomillo de cerdo,1,3.87,3.87,2021-08-05,8403972
Filete de salmón,1,8.42,8.42,2021-08-05,8403972
Queso tierno Entrepinares lonchas,1,2.15,2.15,2021-08-05,8403972
Queso tierno Entrepinares lonchas,1,1.85,1.85,2021-08-05,8403972
Chuletas de cordero palo o riñonada congeladas,1,6.39,6.39,2021-08-05,8403972
Chuletas de cordero palo o riñonada congeladas,1,6.95,6.95,2021-08-05,8403972
Solomillo de pavo marinado congelado,1,1.99,1.99,2021-08-05,8403972
Solomillo de pavo marinado congelado,1,2.07,2.07,2021-08-05,8403972
Tomate frito Hida,1,1.18,1.18,2021-02-18,22016
Salsa fresca de setas Hacendado,1,1.2,1.2,2021-02-18,22016
Mozzarella fresca Hacendado,1,0.8,0.8,2021-02-18,22016
Pan de molde blanco Hacendado,1,0.59,0.59,2021-02-18,22016
"4 Panes chapata de cristal masa madre, sin aditivos y con aceite de oliva",1,1.0,1.0,2021-02-18,22016
Nachos Hacendado,1,0.85,0.85,2021-02-18,22016
Aceitunas rellenas de jalapeño Hacendado,1,1.25,1.25,2021-02-18,22016
Queso havarti Hacendado lonchas,1,2.5,2.5,2021-02-18,22016
Bacón ahumado Monells lonchas,1,1.89,1.89,2021-02-18,22016
Tomates Anhel,1,2.49,2.49,2021-02-18,22016
Aguacate,1,1.41,1.41,2021-02-18,22016
Naranjas,1,3.27,3.27,2021-02-18,22016
Queso de cabra Hacendado rulo,1,1.9,1.9,2021-02-18,22016
Aceite de oliva virgen Hacendado,1,2.9,2.9,2021-02-18,22016
Bolsa de basura mini Bosque Verde 10L cubo pequeño,1,1.1,1.1,2021-02-18,22016
Papel higiénico doble rollo Bosque Verde,1,3.82,3.82,2021-02-18,22016
Papel higiénico húmedo WC Bosque Verde,1,1.5,1.5,2021-02-18,22016
Huevos grandes L,1,0.95,0.95,2021-02-18,22016
"Pan con semillas 4,5% rebanado",1,1.5,1.5,2021-02-18,22016
Leche evaporada Hacendado,1,0.85,0.85,2021-02-18,22016
Pistacho tostado Hacendado 0% sal añadida,1,1.8,1.8,2021-02-18,22016
Fideo cabello de ángel Hacendado,1,0.6,0.6,2021-02-18,22016
Atún claro en aceite de oliva Hacendado,1,3.9,3.9,2021-02-18,22016
Garbanzo cocido Hacendado,1,0.54,0.54,2021-02-18,22016
Regañá Hacendado,1,0.68,0.68,2021-02-18,22016
Protegeslip ultrafino Deliplus Fresh,1,1.2,1.2,2021-02-18,22016
