description,units,price_eu,unit_price,date,order_num
Limpiador Cal y Suciedad Cillit Bang,1,3.9,3.9,2022-07-13,996926
Mejillones en escabeche Hacendado medianos,2,3.5,1.75,2022-07-13,996926
Maíz dulce Hacendado,1,1.25,1.25,2022-07-13,996926
Salsa fresca Roquefort Hacendado,1,1.3,1.3,2022-07-13,996926
Tomate frito receta artesana Hacendado,1,1.85,1.85,2022-07-13,996926
Fregona microfibra absorbente Bosque Verde,1,2.95,2.95,2020-11-18,546427
Limpiador baños Bosque Verde en gel,1,1.3,1.3,2020-11-18,546427
Quitagrasas KH-7,1,2.69,2.69,2020-11-18,546427
Suavizante ropa azul Bosque Verde concentrado,1,1.79,1.79,2020-11-18,546427
Lavavajillas ultra original Fairy líquido,1,2.8,2.8,2020-11-18,546427
Salmón marinado Ubago,1,2.35,2.35,2020-11-18,546427
Corazones de alcachofa Hacendado,1,2.3,2.3,2020-11-18,546427
Fideo mediano Hacendado,1,0.69,0.69,2020-11-18,546427
Fideo cabello de ángel Hacendado,1,0.45,0.45,2020-11-18,546427
Penne integral Hacendado,1,0.89,0.89,2020-11-18,546427
Fusilli Armando,1,0.95,0.95,2020-11-18,546427
Spaghetti al huevo Hacendado,2,1.98,0.99,2020-11-18,546427
Macarrón al huevo Hacendado,1,0.99,0.99,2020-11-18,546427
Queso en polvo grana padano Hacendado,1,1.5,1.5,2020-11-18,546427
Queso Emmental Natual,1,2.15,2.15,2020-11-18,546427
Queso havarti light Hacendado lonchas,1,2.58,2.58,2020-11-18,546427
Jamón cocido extra Hacendado finas lonchas,1,2.99,2.99,2020-11-18,546427
Pechuga de pavo Hacendado finas lonchas,1,2.89,2.89,2020-11-18,546427
Salmón marinado Ubago,1,2.35,2.35,2019-01-31,107492
Mozzarella fresca Hacendado,2,1.6,0.8,2019-01-31,107492
Berenjena,3,2.41,0.8033333333333333,2019-01-31,107492
Anguriñas Pescanova ultracongeladas,1,1.99,1.99,2019-01-31,107492
Espárrago verde entero Jv ultracongelado,1,2.6,2.6,2019-01-31,107492
Porciones de merluza del cabo Mascato ultracongeladas,1,3.8,3.8,2019-01-31,107492
Verdura floretas de brócoli para micro,1,1.2,1.2,2019-01-31,107492
Brócoli,1,1.22,1.22,2019-01-31,107492
Limpiador muebles jabonoso Bosque Verde para madera tratada,1,1.45,1.45,2019-01-31,107492
Limpiador antical Bosque Verde,1,1.6,1.6,2019-01-31,107492
Pizza masa fina jamón Hacendado ultracongelada,1,2.29,2.29,2019-01-31,107492
Pizza ibérica Hacendado ultracongelada,1,2.0,2.0,2019-01-31,107492
Pizza mozzarella y pesto Hacendado ultracongelada,1,2.0,2.0,2019-01-31,107492
Pizza masa fina 4 quesos Hacendado ultracongelada,1,2.29,2.29,2019-01-31,107492
Atún claro en aceite de oliva Hacendado,2,7.98,3.99,2019-01-31,107492
Yogur natural Hacendado 0% materia grasa 0% sin azúcares,1,0.77,0.77,2019-01-31,107492
Yogur natural edulcorado Hacendado 0% materia grasa 0% sin azúcares añadidos,1,0.79,0.79,2019-01-31,107492
Suavizante ropa talco Bosque Verde concentrado,1,1.79,1.79,2019-01-31,107492
Nata ligera para cocinar Hacendado,1,1.32,1.32,2019-01-31,107492
Huevos grandes L,1,1.45,1.45,2019-01-31,107492
Discos desmaquillantes Deliplus redondos,2,1.9,0.95,2019-01-31,107492
Jamón serrano Incarlopsa lonchas extrafinas,1,1.99,1.99,2019-01-31,107492
Café en cápsula sontuoso L'Or Espresso,2,6.58,3.29,2019-01-31,107492
Café en cápsula ristretto L'Or Espresso,3,9.87,3.2899999999999996,2019-01-31,107492
Arroz cocido integral Brillante,1,1.1,1.1,2019-01-31,107492
Agua mineral Bronchales grande,1,2.4,2.4,2019-01-31,107492
Papel higiénico doble rollo Bosque Verde,1,3.74,3.74,2019-01-31,107492
Tomate frito receta artesana Hacendado,1,1.7,1.7,2019-01-31,107492
Queso rallado Entrepinares,1,1.0,1.0,2019-01-31,107492
Garbanzo cocido Hacendado,1,0.7,0.7,2019-01-31,107492
Maíz dulce Hacendado,2,1.9,0.95,2019-01-31,107492
Hogaza 100% natural,1,1.0,1.0,2019-01-31,107492
Longaniza fresca d' Ontinyent,1,2.56,2.56,2019-01-31,107492
