categoria,subcategoria,descripcion,unidades,precio,marca
Despensa,Aperitivos y frutos secos,Pepinillo Agridulce Bote 400 Gr,"5,23 € / 1 Kg","2,09 €",BERNAL
Despensa,Aperitivos y frutos secos,Tortilla Nachips Bolsa 185 Gr,"14,86 € / 1 Kg","2,75 €",OLD EL PASO
Despensa,Aperitivos y frutos secos,Patatas Fritas Flor de Sal con Hierbas Aromáticas 150 Gr,"13,27 € / 1 Kg","1,99 €",CONSUM
Despensa,Aperitivos y frutos secos,Chips de Maíz y Chía con Sal Marina Mios! 150 Gr,"12,67 € / 1 Kg","1,90 €",RISI
Despensa,Aperitivos y frutos secos,Snack de Maíz con Sabor a Mantequilla 100 Gr,"13,00 € / 1 Kg","1,30 €",JUMPERS
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoa Suaves 130 Gr,"14,54 € / 1 Kg","1,89 €",JOLCA
Despensa,Aperitivos y frutos secos,Mango Deshidratado Doypack 90 Gr,"21,22 € / 1 Kg","1,91 €",PRUNITA
Despensa,Aperitivos y frutos secos,Coquitos Grano Bolsa 150 Gr,"15,00 € / 1 Kg","2,25 €",CONSUM
Despensa,Aperitivos y frutos secos,Cocktail Frutos Secos Top 5 170 Gr,"14,71 € / 1 Kg","2,50 €",FRIT RAVICH
Despensa,Aperitivos y frutos secos,Snack Multicereales al Toque de Sal Marina 95 Gr,"23,05 € / 1 Kg","2,19 €",SUNBITES
Despensa,Aperitivos y frutos secos,Almendra Cáscara Blanda Cruda Granel,"9,60 € / 1 Kg","9,60 €",
Despensa,Aperitivos y frutos secos,Pipas Oro Bolsa 150 Gr,"12,00 € / 1 Kg","1,80 €",EL MANISERO
Despensa,Aperitivos y frutos secos,Patata Frita Viruta más Ketchup Tarrina 175 Gr,"12,57 € / 1 Kg","2,20 €",ARGENTE
Despensa,Aperitivos y frutos secos,Mix Sabores de América Bolsa 180 Gr,"13,28 € / 1 Kg","2,39 €",MISTERCORN
Despensa,Aperitivos y frutos secos,Aceitunas Negras Sin Hueso Cacereña 3 x 50 Gr,"21,00 € / 1 Kg","3,15 €",JOLCA
Despensa,Aperitivos y frutos secos,Manzana Deshidratada Roja Bolsa 20 Gr,"4,25 € / 100 Gr","0,85 €",FRUBIS
Despensa,Aperitivos y frutos secos,Frutos Secos y Frutas Arándanos y Cerezas 120 Gr,"22,08 € / 1 Kg","2,65 €",SNATT'S
Despensa,Aperitivos y frutos secos,Frutos Secos y Frutas Piña y Papaya 120 Gr,"22,08 € / 1 Kg","2,65 €",SNATT'S
Despensa,Aperitivos y frutos secos,Pistacho con Cáscara Crudo Bolsa 150 Gr,"16,60 € / 1 Kg","2,49 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Negras en Rodajas Tarro 110 Gr,"17,73 € / 1 Kg","1,95 €",JOLCA
Despensa,Aperitivos y frutos secos,Nachos con Chia Paquete 130 Gr,"10,77 € / 1 Kg","1,40 €",ZANUY
Despensa,Aperitivos y frutos secos,Aceituna Partida de la Abuela Antequera 550 Gr,"6,82 € / 1 Kg","3,75 €",CHICÓN
Despensa,Aperitivos y frutos secos,Conos de Maíz 3D's Sabor Queso 100 Gr,"18,90 € / 1 Kg","1,89 €",MATUTANO
Despensa,Aperitivos y frutos secos,Mix Familiar 500 Gr,"5,10 € / 1 Kg","2,55 €",CONSUM
Despensa,Aperitivos y frutos secos,Pan de Gambas Bolsa 80 Gr,"18,13 € / 1 Kg","1,45 €",ESCRIVA
Despensa,Aperitivos y frutos secos,Nachos de Maíz Fritos Sabor Natural 300 Gr,"8,83 € / 1 Kg","2,65 €",MEXIFOODS
Despensa,Aperitivos y frutos secos,Picoteo Surtido de Snacks 90 Gr,"12,78 € / 1 Kg","1,15 €",TOSFRIT
Despensa,Aperitivos y frutos secos,Tuc Crackers Pack de 2 x 100 Gr,"11,25 € / 1 Kg","2,25 €",LU
Despensa,Aperitivos y frutos secos,Pistacho Tostado Bolsa 130 Gr,"26,08 € / 1 Kg","3,39 €",PIZARRO
Despensa,Aperitivos y frutos secos,Patatas Fritas Receta Original 250 Gr,"9,40 € / 1 Kg","2,35 €",VIDAL
Despensa,Aperitivos y frutos secos,Ajos Aliñados Frasco 220 Gr,"10,45 € / 1 Kg","2,30 €",CONSUM
Despensa,Aperitivos y frutos secos,Maíz Mistercorn Maxi Ahorro Bolsa 285 Gr,"10,00 € / 1 Kg","2,85 €",MISTERCORN
Despensa,Aperitivos y frutos secos,Aceituna Rellena Limón 130 Gr,"15,31 € / 1 Kg","1,99 €",JOLCA
Despensa,Aperitivos y frutos secos,Aceituna Gordal sin Hueso Aliñada 360 Gr,"13,86 € / 1 Kg","4,99 €",JOLCA
